,iteration,MAE,MSE,RMSE,RAE,RSE,RSQ,linear slope,linear intercept
0,0,1.423956956832212,2.436136594314345,1.560812799253756,1.0288275108636835,1.0388538037176136,-0.0388538037176136,0.0,9.619067192077637
1,1,0.5590211264875196,0.5818512264745171,0.7627917320438896,0.4039000696789578,0.24812170271221454,0.7518782972877854,0.7166280253298924,2.6486306138586464
2,2,1.4245890139717858,2.4383963657959984,1.5615365400130727,1.0292841804073178,1.0398174492721062,-0.039817449272106176,0.0,9.622787475585938
3,3,0.5566323373797681,0.5817914882295596,0.762752573400811,0.4021741383297592,0.2480962282362979,0.751903771763702,0.7180093027608543,2.616221181477112
4,4,0.5620726721957113,0.5863945542271328,0.7657640329939327,0.4061048513334749,0.2500591364868051,0.7499408635131949,0.7155930449254062,2.6950321570118865
5,5,0.5929958800799173,0.6130166459218014,0.7829537955216779,0.4284472731621543,0.2614117270125057,0.7385882729874943,0.6914117305155139,2.974570853815414
6,6,0.5908764122039208,0.6184642858903722,0.7864250033476633,0.42691592992263117,0.2637347911279752,0.7362652088720247,0.6808432782236467,2.989979549780612
7,7,0.542871239299619,0.573122075215544,0.7570482647860334,0.39223156512442386,0.2443992874708956,0.7556007125291044,0.744568604818269,2.379848286069012
8,8,0.5537126504052378,0.5846453456847905,0.7646210471107832,0.40006462633356116,0.24931321281735705,0.7506867871826429,0.7502403123571701,2.429616753369338
9,9,0.5457574069204431,0.5785961038298473,0.7606550491713358,0.3943168589495079,0.246733604627372,0.753266395372628,0.7532159433710601,2.354696796913929
